動畫名,年份,月份,集數,星級,評分人數,導演監督,製作廠商,作品分類1,作品分類2,作品分類3,作品分類4,作品分類5,作品分類6,原作載體,新續作,平均觀看數(萬),總觀看數(萬)
擁有超常技能的異世界流浪美食家,2023,冬番,12,4.9,22100,松田清,MAPPA,冒險,奇幻,異世界,料理,,,小說改編,新作,28.9,346.5
陰陽眼見子,2021,秋番,12,4.9,12700,小川優樹,Passione,超能力,校園,靈異神怪,,,,漫畫改編,新作,29.0,348.1
骸骨騎士大人異世界冒險中,2022,春番,12,4.8,12700,小野勝巳,Studio KAI×HORNETS,動作,冒險,奇幻,異世界,,,小說改編,新作,29.2,350.9
鬼滅之刃 無限列車篇,2021,秋番,7,4.7,6100,外崎春雄,ufotable,動作,冒險,奇幻,血腥暴力,,,漫畫改編,續作,29.4,205.8
魔法科高中的劣等生 來訪者篇,2020,秋番,13,4.8,4400,吉田りさこ,8bit,奇幻,魔法,科幻,校園,,,小說改編,續作,29.9,388.1
刮掉鬍子的我與撿到的女高中生,2021,春番,13,4.6,8900,上北學,project No.9,戀愛,溫馨,,,,,小說改編,新作,30.5,396.4
排球少年！！第四季,2020,冬番,13,4.9,5100,佐藤雅子,Production I.G,校園,勵志,運動,,,,漫畫改編,續作,30.9,401.2
歡迎來到實力至上主義的教室 第二季,2022,夏番,13,4.6,12700,岸誠二、橋本裕之、仁昌寺義人,Lerche,校園,懸疑,黑暗,,,,小說改編,續作,31.2,406.0
排球少年！！第四季 Part 2,2020,秋番,12,4.9,5500,佐藤雅子,Production I.G,校園,勵志,運動,,,,漫畫改編,續作,31.5,378.5
在地下城尋求邂逅是否搞錯了什麼 第三季,2020,秋番,13,4.8,5500,橘秀樹,J.C.STAFF,動作,冒險,奇幻,,,,小說改編,續作,31.6,411.3
轉生成蜘蛛又怎樣！,2021,冬番,24,4.0,7000,板垣伸,Millepensee,動作,冒險,奇幻,時間穿越,,,小說改編,新作,32.5,780.2
Vivy -Fluorite Eye's Song-,2021,春番,14,4.9,20100,江崎慎平,WIT STUDIO,動作,科幻,音樂,,,,原創作品,新作,34.6,484.4
OVERLORD 第四季,2022,夏番,13,4.9,14700,伊藤尚往,MADHOUSE,冒險,奇幻,異世界,魔法,,,小說改編,續作,34.6,450.3
